K=25, k=1, Hardness=hard, accuracy=48.400000 
K=25, k=1, Hardness=easy, accuracy=66.600000 
K=25, k=2, Hardness=hard, accuracy=47.200000 
K=25, k=2, Hardness=easy, accuracy=65.600000 
K=25, k=3, Hardness=hard, accuracy=42.600000 
K=25, k=3, Hardness=easy, accuracy=59.000000 
K=25, k=4, Hardness=hard, accuracy=37.800000 
K=25, k=4, Hardness=easy, accuracy=52.600000 
K=25, k=5, Hardness=hard, accuracy=33.000000 
K=25, k=5, Hardness=easy, accuracy=44.400000 
K=25, k=6, Hardness=hard, accuracy=29.800000 
K=25, k=6, Hardness=easy, accuracy=40.400000 
K=25, k=7, Hardness=hard, accuracy=26.000000 
K=25, k=7, Hardness=easy, accuracy=39.200000 
K=25, k=8, Hardness=hard, accuracy=26.800000 
K=25, k=8, Hardness=easy, accuracy=32.600000 
K=25, k=9, Hardness=hard, accuracy=22.400000 
K=25, k=9, Hardness=easy, accuracy=31.400000 
K=35, k=1, Hardness=hard, accuracy=50.000000 
K=35, k=1, Hardness=easy, accuracy=65.400000 
K=35, k=2, Hardness=hard, accuracy=52.000000 
K=35, k=2, Hardness=easy, accuracy=64.000000 
K=35, k=3, Hardness=hard, accuracy=44.800000 
K=35, k=3, Hardness=easy, accuracy=58.200000 
K=35, k=4, Hardness=hard, accuracy=42.000000 
K=35, k=4, Hardness=easy, accuracy=56.400000 
K=35, k=5, Hardness=hard, accuracy=35.400000 
K=35, k=5, Hardness=easy, accuracy=55.400000 
K=35, k=6, Hardness=hard, accuracy=34.600000 
K=35, k=6, Hardness=easy, accuracy=45.000000 
K=35, k=7, Hardness=hard, accuracy=34.800000 
K=35, k=7, Hardness=easy, accuracy=44.000000 
K=35, k=8, Hardness=hard, accuracy=31.600000 
K=35, k=8, Hardness=easy, accuracy=48.000000 
K=35, k=9, Hardness=hard, accuracy=30.000000 
K=35, k=9, Hardness=easy, accuracy=42.200000 
K=50, k=1, Hardness=hard, accuracy=56.800000 
K=50, k=1, Hardness=easy, accuracy=68.000000 
K=50, k=2, Hardness=hard, accuracy=56.000000 
K=50, k=2, Hardness=easy, accuracy=70.400000 
K=50, k=3, Hardness=hard, accuracy=56.800000 
K=50, k=3, Hardness=easy, accuracy=71.000000 
K=50, k=4, Hardness=hard, accuracy=52.600000 
K=50, k=4, Hardness=easy, accuracy=65.800000 
K=50, k=5, Hardness=hard, accuracy=49.200000 
K=50, k=5, Hardness=easy, accuracy=62.600000 
K=50, k=6, Hardness=hard, accuracy=47.800000 
K=50, k=6, Hardness=easy, accuracy=57.200000 
K=50, k=7, Hardness=hard, accuracy=45.200000 
K=50, k=7, Hardness=easy, accuracy=56.200000 
K=50, k=8, Hardness=hard, accuracy=41.400000 
K=50, k=8, Hardness=easy, accuracy=56.000000 
K=50, k=9, Hardness=hard, accuracy=43.600000 
K=50, k=9, Hardness=easy, accuracy=51.600000 
K=75, k=1, Hardness=hard, accuracy=60.000000 
K=75, k=1, Hardness=easy, accuracy=71.200000 
K=75, k=2, Hardness=hard, accuracy=63.000000 
K=75, k=2, Hardness=easy, accuracy=73.800000 
K=75, k=3, Hardness=hard, accuracy=61.600000 
K=75, k=3, Hardness=easy, accuracy=67.800000 
K=75, k=4, Hardness=hard, accuracy=55.200000 
K=75, k=4, Hardness=easy, accuracy=66.800000 
K=75, k=5, Hardness=hard, accuracy=51.800000 
K=75, k=5, Hardness=easy, accuracy=70.200000 
K=75, k=6, Hardness=hard, accuracy=50.600000 
K=75, k=6, Hardness=easy, accuracy=65.200000 
K=75, k=7, Hardness=hard, accuracy=47.400000 
K=75, k=7, Hardness=easy, accuracy=60.200000 
K=75, k=8, Hardness=hard, accuracy=49.400000 
K=75, k=8, Hardness=easy, accuracy=56.600000 
K=75, k=9, Hardness=hard, accuracy=48.600000 
K=75, k=9, Hardness=easy, accuracy=60.600000 
K=100, k=1, Hardness=hard, accuracy=60.600000 
K=100, k=1, Hardness=easy, accuracy=75.800000 
K=100, k=2, Hardness=hard, accuracy=61.200000 
K=100, k=2, Hardness=easy, accuracy=73.600000 
K=100, k=3, Hardness=hard, accuracy=60.800000 
K=100, k=3, Hardness=easy, accuracy=71.600000 
K=100, k=4, Hardness=hard, accuracy=57.600000 
K=100, k=4, Hardness=easy, accuracy=71.000000 
K=100, k=5, Hardness=hard, accuracy=56.800000 
K=100, k=5, Hardness=easy, accuracy=72.400000 
K=100, k=6, Hardness=hard, accuracy=53.600000 
K=100, k=6, Hardness=easy, accuracy=70.600000 
K=100, k=7, Hardness=hard, accuracy=54.400000 
K=100, k=7, Hardness=easy, accuracy=63.800000 
K=100, k=8, Hardness=hard, accuracy=51.800000 
K=100, k=8, Hardness=easy, accuracy=65.200000 
K=100, k=9, Hardness=hard, accuracy=54.000000 
K=100, k=9, Hardness=easy, accuracy=63.400000 
K=150, k=1, Hardness=hard, accuracy=65.800000 
K=150, k=1, Hardness=easy, accuracy=81.600000 
K=150, k=2, Hardness=hard, accuracy=67.400000 
K=150, k=2, Hardness=easy, accuracy=79.200000 
K=150, k=3, Hardness=hard, accuracy=65.400000 
K=150, k=3, Hardness=easy, accuracy=77.600000 
K=150, k=4, Hardness=hard, accuracy=62.000000 
K=150, k=4, Hardness=easy, accuracy=78.000000 
K=150, k=5, Hardness=hard, accuracy=61.600000 
K=150, k=5, Hardness=easy, accuracy=76.200000 
K=150, k=6, Hardness=hard, accuracy=61.200000 
K=150, k=6, Hardness=easy, accuracy=76.200000 
K=150, k=7, Hardness=hard, accuracy=59.800000 
K=150, k=7, Hardness=easy, accuracy=74.800000 
K=150, k=8, Hardness=hard, accuracy=59.800000 
K=150, k=8, Hardness=easy, accuracy=72.400000 
K=150, k=9, Hardness=hard, accuracy=62.800000 
K=150, k=9, Hardness=easy, accuracy=73.800000 
K=200, k=1, Hardness=hard, accuracy=67.800000 
K=200, k=1, Hardness=easy, accuracy=81.200000 
K=200, k=2, Hardness=hard, accuracy=70.000000 
K=200, k=2, Hardness=easy, accuracy=83.200000 
