K=600, k=1, Hardness=hard, accuracy=79.400000 
K=600, k=1, Hardness=easy, accuracy=87.200000 
K=600, k=2, Hardness=hard, accuracy=76.400000 
K=600, k=2, Hardness=easy, accuracy=87.800000 
K=600, k=3, Hardness=hard, accuracy=78.000000 
K=600, k=3, Hardness=easy, accuracy=85.600000 
K=600, k=4, Hardness=hard, accuracy=76.800000 
K=600, k=4, Hardness=easy, accuracy=88.400000 
K=600, k=5, Hardness=hard, accuracy=73.000000 
K=600, k=5, Hardness=easy, accuracy=86.000000 
K=600, k=6, Hardness=hard, accuracy=73.200000 
K=600, k=6, Hardness=easy, accuracy=87.000000 
K=600, k=7, Hardness=hard, accuracy=74.600000 
K=600, k=7, Hardness=easy, accuracy=85.200000 
K=600, k=8, Hardness=hard, accuracy=71.400000 
K=600, k=8, Hardness=easy, accuracy=85.400000 
K=600, k=9, Hardness=hard, accuracy=71.200000 
K=600, k=9, Hardness=easy, accuracy=86.400000 
K=700, k=1, Hardness=hard, accuracy=80.600000 
K=700, k=1, Hardness=easy, accuracy=88.000000 
K=700, k=2, Hardness=hard, accuracy=81.000000 
K=700, k=2, Hardness=easy, accuracy=89.600000 
K=700, k=3, Hardness=hard, accuracy=81.600000 
K=700, k=3, Hardness=easy, accuracy=88.800000 
K=700, k=4, Hardness=hard, accuracy=80.800000 
K=700, k=4, Hardness=easy, accuracy=91.800000 
K=700, k=5, Hardness=hard, accuracy=76.800000 
K=700, k=5, Hardness=easy, accuracy=89.800000 
K=700, k=6, Hardness=hard, accuracy=78.200000 
K=700, k=6, Hardness=easy, accuracy=88.400000 
K=700, k=7, Hardness=hard, accuracy=77.200000 
K=700, k=7, Hardness=easy, accuracy=86.800000 
K=700, k=8, Hardness=hard, accuracy=77.800000 
K=700, k=8, Hardness=easy, accuracy=90.400000 
K=700, k=9, Hardness=hard, accuracy=75.600000 
K=700, k=9, Hardness=easy, accuracy=86.800000 
K=784, k=1, Hardness=hard, accuracy=81.600000 
K=784, k=1, Hardness=easy, accuracy=91.000000 
K=784, k=2, Hardness=hard, accuracy=79.800000 
K=784, k=2, Hardness=easy, accuracy=91.600000 
K=784, k=3, Hardness=hard, accuracy=81.800000 
K=784, k=3, Hardness=easy, accuracy=92.200000 
K=784, k=4, Hardness=hard, accuracy=82.200000 
K=784, k=4, Hardness=easy, accuracy=91.000000 
K=784, k=5, Hardness=hard, accuracy=80.200000 
K=784, k=5, Hardness=easy, accuracy=87.000000 
K=784, k=6, Hardness=hard, accuracy=77.600000 
K=784, k=6, Hardness=easy, accuracy=89.800000 
K=784, k=7, Hardness=hard, accuracy=76.000000 
K=784, k=7, Hardness=easy, accuracy=88.200000 
K=784, k=8, Hardness=hard, accuracy=80.000000 
K=784, k=8, Hardness=easy, accuracy=86.600000 
K=784, k=9, Hardness=hard, accuracy=74.600000 
K=784, k=9, Hardness=easy, accuracy=89.200000 
K=800, k=1, Hardness=hard, accuracy=80.600000 
K=800, k=1, Hardness=easy, accuracy=88.800000 
K=800, k=2, Hardness=hard, accuracy=82.600000 
K=800, k=2, Hardness=easy, accuracy=91.800000 
K=800, k=3, Hardness=hard, accuracy=79.600000 
K=800, k=3, Hardness=easy, accuracy=90.400000 
K=800, k=4, Hardness=hard, accuracy=81.000000 
K=800, k=4, Hardness=easy, accuracy=88.800000 
K=800, k=5, Hardness=hard, accuracy=79.400000 
K=800, k=5, Hardness=easy, accuracy=88.800000 
K=800, k=6, Hardness=hard, accuracy=77.000000 
K=800, k=6, Hardness=easy, accuracy=90.200000 
K=800, k=7, Hardness=hard, accuracy=79.800000 
K=800, k=7, Hardness=easy, accuracy=91.200000 
K=800, k=8, Hardness=hard, accuracy=76.400000 
K=800, k=8, Hardness=easy, accuracy=87.800000 
K=800, k=9, Hardness=hard, accuracy=78.400000 
K=800, k=9, Hardness=easy, accuracy=86.600000 
K=1000, k=1, Hardness=hard, accuracy=78.800000 
K=1000, k=1, Hardness=easy, accuracy=93.200000 
K=1000, k=2, Hardness=hard, accuracy=79.800000 
K=1000, k=2, Hardness=easy, accuracy=91.000000 
K=1000, k=3, Hardness=hard, accuracy=81.600000 
K=1000, k=3, Hardness=easy, accuracy=87.800000 
K=1000, k=4, Hardness=hard, accuracy=82.400000 
K=1000, k=4, Hardness=easy, accuracy=89.400000 
K=1000, k=5, Hardness=hard, accuracy=83.400000 
K=1000, k=5, Hardness=easy, accuracy=92.400000 
K=1000, k=6, Hardness=hard, accuracy=81.000000 
K=1000, k=6, Hardness=easy, accuracy=88.200000 
K=1000, k=7, Hardness=hard, accuracy=79.200000 
K=1000, k=7, Hardness=easy, accuracy=89.200000 
K=1000, k=8, Hardness=hard, accuracy=81.400000 
K=1000, k=8, Hardness=easy, accuracy=89.800000 
K=1000, k=9, Hardness=hard, accuracy=78.600000 
K=1000, k=9, Hardness=easy, accuracy=91.000000 
