K=50, k=2, num-eigs=5, Hardness=hard, accuracy=42.600000 
K=50, k=2, num-eigs=5, Hardness=easy, accuracy=53.000000 
K=50, k=2, num-eigs=10, Hardness=hard, accuracy=51.000000 
K=50, k=2, num-eigs=10, Hardness=easy, accuracy=64.600000 
K=50, k=2, num-eigs=20, Hardness=hard, accuracy=54.800000 
K=50, k=2, num-eigs=20, Hardness=easy, accuracy=69.000000 
K=50, k=2, num-eigs=50, Hardness=hard, accuracy=52.000000 
K=50, k=2, num-eigs=50, Hardness=easy, accuracy=73.800000 
K=100, k=2, num-eigs=5, Hardness=hard, accuracy=45.800000 
K=100, k=2, num-eigs=5, Hardness=easy, accuracy=47.800000 
K=100, k=2, num-eigs=10, Hardness=hard, accuracy=62.400000 
K=100, k=2, num-eigs=10, Hardness=easy, accuracy=71.400000 
K=100, k=2, num-eigs=20, Hardness=hard, accuracy=66.800000 
K=100, k=2, num-eigs=20, Hardness=easy, accuracy=78.200000 
K=100, k=2, num-eigs=50, Hardness=hard, accuracy=61.800000 
K=100, k=2, num-eigs=50, Hardness=easy, accuracy=72.600000 
K=300, k=2, num-eigs=5, Hardness=hard, accuracy=57.400000 
K=300, k=2, num-eigs=5, Hardness=easy, accuracy=63.400000 
K=300, k=2, num-eigs=10, Hardness=hard, accuracy=75.800000 
K=300, k=2, num-eigs=10, Hardness=easy, accuracy=79.800000 
K=300, k=2, num-eigs=20, Hardness=hard, accuracy=77.600000 
K=300, k=2, num-eigs=20, Hardness=easy, accuracy=83.800000 
K=300, k=2, num-eigs=50, Hardness=hard, accuracy=76.200000 
K=300, k=2, num-eigs=50, Hardness=easy, accuracy=84.800000 
K=500, k=2, num-eigs=5, Hardness=hard, accuracy=59.200000 
K=500, k=2, num-eigs=5, Hardness=easy, accuracy=69.400000 
K=500, k=2, num-eigs=10, Hardness=hard, accuracy=70.400000 
K=500, k=2, num-eigs=10, Hardness=easy, accuracy=82.200000 
K=500, k=2, num-eigs=20, Hardness=hard, accuracy=77.800000 
K=500, k=2, num-eigs=20, Hardness=easy, accuracy=87.200000 
K=500, k=2, num-eigs=50, Hardness=hard, accuracy=79.000000 
K=500, k=2, num-eigs=50, Hardness=easy, accuracy=90.800000 
K=700, k=2, num-eigs=5, Hardness=hard, accuracy=63.000000 
K=700, k=2, num-eigs=5, Hardness=easy, accuracy=69.400000 
K=700, k=2, num-eigs=10, Hardness=hard, accuracy=75.400000 
K=700, k=2, num-eigs=10, Hardness=easy, accuracy=82.400000 
K=700, k=2, num-eigs=20, Hardness=hard, accuracy=83.200000 
K=700, k=2, num-eigs=20, Hardness=easy, accuracy=90.000000 
K=700, k=2, num-eigs=50, Hardness=hard, accuracy=84.000000 
K=700, k=2, num-eigs=50, Hardness=easy, accuracy=89.400000 
K=1000, k=2, num-eigs=5, Hardness=hard, accuracy=63.000000 
K=1000, k=2, num-eigs=5, Hardness=easy, accuracy=70.600000 
K=1000, k=2, num-eigs=10, Hardness=hard, accuracy=77.000000 
K=1000, k=2, num-eigs=10, Hardness=easy, accuracy=85.000000 
K=1000, k=2, num-eigs=20, Hardness=hard, accuracy=84.000000 
K=1000, k=2, num-eigs=20, Hardness=easy, accuracy=89.600000 
K=1000, k=2, num-eigs=50, Hardness=hard, accuracy=86.600000 
K=1000, k=2, num-eigs=50, Hardness=easy, accuracy=89.600000 
