K=50, k=2, num-eigs=5, Hardness=hard, accuracy=45.800000 
K=50, k=2, num-eigs=5, Hardness=easy, accuracy=56.400000 
K=50, k=2, num-eigs=10, Hardness=hard, accuracy=52.600000 
K=50, k=2, num-eigs=10, Hardness=easy, accuracy=66.600000 
K=50, k=2, num-eigs=20, Hardness=hard, accuracy=50.800000 
K=50, k=2, num-eigs=20, Hardness=easy, accuracy=70.000000 
K=50, k=2, num-eigs=50, Hardness=hard, accuracy=57.400000 
K=50, k=2, num-eigs=50, Hardness=easy, accuracy=70.800000 
K=100, k=2, num-eigs=5, Hardness=hard, accuracy=51.800000 
K=100, k=2, num-eigs=5, Hardness=easy, accuracy=56.600000 
K=100, k=2, num-eigs=10, Hardness=hard, accuracy=60.200000 
K=100, k=2, num-eigs=10, Hardness=easy, accuracy=75.600000 
K=100, k=2, num-eigs=20, Hardness=hard, accuracy=60.000000 
K=100, k=2, num-eigs=20, Hardness=easy, accuracy=72.400000 
K=100, k=2, num-eigs=50, Hardness=hard, accuracy=65.000000 
K=100, k=2, num-eigs=50, Hardness=easy, accuracy=75.400000 
K=300, k=2, num-eigs=5, Hardness=hard, accuracy=55.200000 
K=300, k=2, num-eigs=5, Hardness=easy, accuracy=61.200000 
K=300, k=2, num-eigs=10, Hardness=hard, accuracy=69.200000 
K=300, k=2, num-eigs=10, Hardness=easy, accuracy=82.000000 
K=300, k=2, num-eigs=20, Hardness=hard, accuracy=76.200000 
K=300, k=2, num-eigs=20, Hardness=easy, accuracy=87.400000 
K=300, k=2, num-eigs=50, Hardness=hard, accuracy=74.200000 
K=300, k=2, num-eigs=50, Hardness=easy, accuracy=85.000000 
K=500, k=2, num-eigs=5, Hardness=hard, accuracy=59.800000 
K=500, k=2, num-eigs=5, Hardness=easy, accuracy=62.600000 
K=500, k=2, num-eigs=10, Hardness=hard, accuracy=70.800000 
K=500, k=2, num-eigs=10, Hardness=easy, accuracy=78.000000 
K=500, k=2, num-eigs=20, Hardness=hard, accuracy=80.000000 
K=500, k=2, num-eigs=20, Hardness=easy, accuracy=87.200000 
K=500, k=2, num-eigs=50, Hardness=hard, accuracy=78.200000 
K=500, k=2, num-eigs=50, Hardness=easy, accuracy=89.800000 
K=700, k=2, num-eigs=5, Hardness=hard, accuracy=61.000000 
K=700, k=2, num-eigs=5, Hardness=easy, accuracy=65.800000 
K=700, k=2, num-eigs=10, Hardness=hard, accuracy=77.200000 
K=700, k=2, num-eigs=10, Hardness=easy, accuracy=85.600000 
K=700, k=2, num-eigs=20, Hardness=hard, accuracy=82.000000 
K=700, k=2, num-eigs=20, Hardness=easy, accuracy=89.600000 
K=700, k=2, num-eigs=50, Hardness=hard, accuracy=84.400000 
K=700, k=2, num-eigs=50, Hardness=easy, accuracy=90.800000 
K=1000, k=2, num-eigs=5, Hardness=hard, accuracy=60.600000 
K=1000, k=2, num-eigs=5, Hardness=easy, accuracy=71.600000 
K=1000, k=2, num-eigs=10, Hardness=hard, accuracy=78.600000 
K=1000, k=2, num-eigs=10, Hardness=easy, accuracy=85.200000 
K=1000, k=2, num-eigs=20, Hardness=hard, accuracy=84.600000 
K=1000, k=2, num-eigs=20, Hardness=easy, accuracy=91.200000 
K=1000, k=2, num-eigs=50, Hardness=hard, accuracy=86.200000 
K=1000, k=2, num-eigs=50, Hardness=easy, accuracy=94.000000 
