K=25, k=1, Hardness=easy, accuracy=64.200000 
K=35, k=1, Hardness=easy, accuracy=67.800000 
K=75, k=1, Hardness=easy, accuracy=71.200000 
K=50, k=1, Hardness=easy, accuracy=74.600000 
K=100, k=1, Hardness=easy, accuracy=76.000000 
K=150, k=1, Hardness=easy, accuracy=81.000000 
K=200, k=1, Hardness=easy, accuracy=84.200000 
K=300, k=1, Hardness=easy, accuracy=85.600000 
K=500, k=1, Hardness=easy, accuracy=87.200000 
K=600, k=1, Hardness=easy, accuracy=87.200000 
K=400, k=1, Hardness=easy, accuracy=88.000000 
K=700, k=1, Hardness=easy, accuracy=88.000000 
K=800, k=1, Hardness=easy, accuracy=88.800000 
K=784, k=1, Hardness=easy, accuracy=91.000000 
K=1000, k=1, Hardness=easy, accuracy=93.200000 
K=25, k=1, Hardness=hard, accuracy=46.400000 
K=35, k=1, Hardness=hard, accuracy=50.400000 
K=50, k=1, Hardness=hard, accuracy=54.000000 
K=100, k=1, Hardness=hard, accuracy=57.800000 
K=75, k=1, Hardness=hard, accuracy=59.600000 
K=150, k=1, Hardness=hard, accuracy=63.800000 
K=200, k=1, Hardness=hard, accuracy=73.200000 
K=300, k=1, Hardness=hard, accuracy=75.800000 
K=400, k=1, Hardness=hard, accuracy=77.000000 
K=500, k=1, Hardness=hard, accuracy=78.200000 
K=1000, k=1, Hardness=hard, accuracy=78.800000 
K=600, k=1, Hardness=hard, accuracy=79.400000 
K=700, k=1, Hardness=hard, accuracy=80.600000 
K=800, k=1, Hardness=hard, accuracy=80.600000 
K=784, k=1, Hardness=hard, accuracy=81.600000 
K=25, k=2, Hardness=easy, accuracy=66.400000 
K=35, k=2, Hardness=easy, accuracy=67.400000 
K=50, k=2, Hardness=easy, accuracy=70.800000 
K=75, k=2, Hardness=easy, accuracy=72.800000 
K=100, k=2, Hardness=easy, accuracy=75.800000 
K=150, k=2, Hardness=easy, accuracy=81.200000 
K=200, k=2, Hardness=easy, accuracy=82.800000 
K=300, k=2, Hardness=easy, accuracy=86.200000 
K=600, k=2, Hardness=easy, accuracy=87.800000 
K=400, k=2, Hardness=easy, accuracy=88.000000 
K=700, k=2, Hardness=easy, accuracy=89.600000 
K=500, k=2, Hardness=easy, accuracy=89.800000 
K=1000, k=2, Hardness=easy, accuracy=91.000000 
K=784, k=2, Hardness=easy, accuracy=91.600000 
K=800, k=2, Hardness=easy, accuracy=91.800000 
K=25, k=2, Hardness=hard, accuracy=47.800000 
K=35, k=2, Hardness=hard, accuracy=48.800000 
K=75, k=2, Hardness=hard, accuracy=58.200000 
K=50, k=2, Hardness=hard, accuracy=59.200000 
K=100, k=2, Hardness=hard, accuracy=62.400000 
K=150, k=2, Hardness=hard, accuracy=67.000000 
K=200, k=2, Hardness=hard, accuracy=69.800000 
K=400, k=2, Hardness=hard, accuracy=73.000000 
K=300, k=2, Hardness=hard, accuracy=73.600000 
K=600, k=2, Hardness=hard, accuracy=76.400000 
K=500, k=2, Hardness=hard, accuracy=76.800000 
K=1000, k=2, Hardness=hard, accuracy=79.800000 
K=784, k=2, Hardness=hard, accuracy=79.800000 
K=700, k=2, Hardness=hard, accuracy=81.000000 
K=800, k=2, Hardness=hard, accuracy=82.600000 
K=25, k=3, Hardness=easy, accuracy=55.400000 
K=35, k=3, Hardness=easy, accuracy=63.400000 
