K=25, k=1, Hardness=hard, accuracy=46.400000 
K=25, k=1, Hardness=easy, accuracy=64.200000 
K=25, k=2, Hardness=hard, accuracy=47.800000 
K=25, k=2, Hardness=easy, accuracy=66.400000 
K=25, k=3, Hardness=hard, accuracy=40.000000 
K=25, k=3, Hardness=easy, accuracy=55.400000 
K=25, k=4, Hardness=hard, accuracy=34.000000 
K=25, k=4, Hardness=easy, accuracy=47.400000 
K=25, k=5, Hardness=hard, accuracy=33.000000 
K=25, k=5, Hardness=easy, accuracy=40.800000 
K=25, k=6, Hardness=hard, accuracy=26.600000 
K=25, k=6, Hardness=easy, accuracy=38.800000 
K=25, k=7, Hardness=hard, accuracy=21.600000 
K=25, k=7, Hardness=easy, accuracy=37.200000 
K=25, k=8, Hardness=hard, accuracy=26.400000 
K=25, k=8, Hardness=easy, accuracy=38.200000 
K=25, k=9, Hardness=hard, accuracy=21.800000 
K=25, k=9, Hardness=easy, accuracy=32.200000 
K=35, k=1, Hardness=hard, accuracy=50.400000 
K=35, k=1, Hardness=easy, accuracy=67.800000 
K=35, k=2, Hardness=hard, accuracy=48.800000 
K=35, k=2, Hardness=easy, accuracy=67.400000 
K=35, k=3, Hardness=hard, accuracy=47.600000 
K=35, k=3, Hardness=easy, accuracy=63.400000 
K=35, k=4, Hardness=hard, accuracy=43.800000 
K=35, k=4, Hardness=easy, accuracy=54.800000 
K=35, k=5, Hardness=hard, accuracy=37.800000 
K=35, k=5, Hardness=easy, accuracy=55.000000 
K=35, k=6, Hardness=hard, accuracy=36.200000 
K=35, k=6, Hardness=easy, accuracy=48.600000 
K=35, k=7, Hardness=hard, accuracy=32.000000 
K=35, k=7, Hardness=easy, accuracy=42.000000 
K=35, k=8, Hardness=hard, accuracy=33.800000 
K=35, k=8, Hardness=easy, accuracy=45.600000 
K=35, k=9, Hardness=hard, accuracy=31.800000 
K=35, k=9, Hardness=easy, accuracy=36.000000 
K=50, k=1, Hardness=hard, accuracy=54.000000 
K=50, k=1, Hardness=easy, accuracy=74.600000 
K=50, k=2, Hardness=hard, accuracy=59.200000 
K=50, k=2, Hardness=easy, accuracy=70.800000 
